Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
1,0.02,0.98,0,0.000357142,0,0
100000.9,0.98,0.02,5.922893673,0.689570419,0.09504187,0.014303377
200000.8,0.02,0.98,0.246659189,73.10917871,0.006828537,0.723612425
400000.6,0.98,0.02,23.35665365,2.817710162,0.240710465,0.021109716
500000.5,0.02,0.98,0.620619625,194.7772863,0.013582431,2.293034157
600000.4,0.98,0.02,34.96781397,4.266779469,0.146846069,0.072386402
700000.3,0.02,0.98,0.892853655,300.6679171,0.019149387,5.263551079
800000.2,0.98,0.02,45.73940589,5.634134611,0.307973001,0.016487525
900000.1,0.02,0.98,1.139799323,421.7985969,0.014467101,2.68167939
1000000,0.98,0.02,56.09239859,6.996204046,0.445892484,0.097684807
