Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
400000.098,300,0.42,0.58,505.1897801,88.39368427,1.248976727,0.372035285
400000.098,300,0.44,0.56,523.2206431,84.43171025,1.526041419,0.282774243
400000.098,300,0.46,0.54,540.536079,80.95361634,1.002859759,0.42496011
400000.098,300,0.48,0.52,557.6788172,77.32874097,1.573391339,0.361682605
400000.098,300,0.5,0.5,575.0286569,73.73714945,1.445111851,0.241472089
400000.098,300,0.52,0.48,591.118658,70.30887742,1.970800673,0.407709807
400000.098,300,0.54,0.46,607.639603,66.67563778,0.491708319,0.18348298
400000.098,300,0.56,0.44,622.6407809,63.27862349,1.52726101,0.396911781
400000.098,300,0.58,0.42,637.8535102,59.79162849,0.807565648,0.303818977
400000.098,300,0.6,0.4,653.1136126,56.65290178,1.864702167,0.197083658
400000.098,300,0.62,0.38,668.1014414,53.394703,2.032843251,0.359169033
400000.098,300,0.64,0.36,682.0806503,50.13572493,1.728328858,0.190469391
400000.098,300,0.66,0.34,695.9503801,46.92525264,2.690997396,0.223181087
400000.098,300,0.68,0.32,710.2010216,43.90585948,3.201613392,0.095207255
400000.098,300,0.7,0.3,723.3887242,40.70484243,2.200006841,0.120640448
400000.098,300,0.72,0.28,735.1785927,37.66454728,2.311879796,0.114287615
400000.098,300,0.74,0.26,748.7676649,34.73439019,2.220684675,0.195039025
400000.098,300,0.76,0.24,760.9037157,31.8258624,1.85862337,0.167911444
400000.098,300,0.78,0.22,772.5303286,28.92914502,3.443990084,0.103986302
400000.098,300,0.8,0.2,783.2705532,26.09644971,2.43017276,0.101798978
400000.098,300,0.82,0.18,795.8080279,23.29296869,1.947654446,0.092302718
400000.098,300,0.84,0.16,807.140417,20.56005569,1.756405741,0.099512467
400000.098,300,0.86,0.14,819.1749927,17.87708579,1.602687071,0.131562967
400000.098,300,0.88,0.12,829.4870409,15.18445283,2.28101379,0.045270043
400000.098,300,0.9,0.1,840.2840264,12.54730452,1.86244035,0.056563585
400000.098,300,0.92,0.08,849.6436731,9.994283671,1.377103637,0.045882895
400000.098,300,0.94,0.06,859.930678,7.410195577,2.088605243,0.020321869
400000.098,300,0.96,0.04,869.2894293,4.907949062,2.851844061,0.021640007
400000.098,300,0.98,0.02,878.7900831,2.441220336,2.368310776,0.023365658
800000.096,300,0.02,0.98,62.12565131,334.0971514,0.463518542,1.565727231
800000.096,300,0.04,0.96,115.5618805,316.113114,0.751557494,1.664502402
800000.096,300,0.06,0.94,163.708784,301.3691094,0.60848932,0.901818449
800000.096,300,0.08,0.92,209.1299668,288.1502399,0.445307946,0.833901188
800000.096,300,0.1,0.9,250.8662171,276.4922309,1.436889569,0.858017081
800000.096,300,0.12,0.88,290.8666178,264.738994,1.442125761,0.442351951
800000.096,300,0.14,0.86,328.8341506,254.386017,1.342055833,0.664392402
800000.096,300,0.16,0.84,365.4059386,244.1834408,0.80630195,0.551679941
800000.096,300,0.18,0.82,401.4469626,234.3938823,1.550437202,1.151525437
800000.096,300,0.2,0.8,434.860268,224.5600608,0.85920589,0.944580924
800000.096,300,0.22,0.78,467.8779288,215.8440366,3.10876168,1.272617143
800000.096,300,0.24,0.76,497.3924712,206.0850258,1.312016225,0.960881362
800000.096,300,0.26,0.74,526.8821061,198.0619362,1.552894945,0.486545125
800000.096,300,0.28,0.72,555.108158,189.7505135,1.438427508,0.939073893
800000.096,300,0.3,0.7,581.6464933,181.2237847,2.147764753,0.574270222
800000.096,300,0.32,0.68,608.161549,173.2899485,1.781823789,0.406205682
800000.096,300,0.34,0.66,632.6876913,165.6498657,1.311078119,0.996353356
800000.096,300,0.36,0.64,656.7594202,158.1767737,2.280483115,0.574093016
800000.096,300,0.38,0.62,679.9164345,151.0051067,0.766736419,0.902495993
800000.096,300,0.4,0.6,702.565666,143.6379619,2.925292695,0.860221496
800000.096,300,0.42,0.58,723.5656817,137.0717771,2.220334934,0.606267257
800000.096,300,0.44,0.56,742.9623625,130.3356229,2.178890216,0.1598484
800000.096,300,0.46,0.54,762.6333519,124.1465224,1.059867191,0.50886255
800000.096,300,0.48,0.52,782.4277395,117.6138466,1.941861638,0.567759899
800000.096,300,0.5,0.5,799.1115874,111.6674827,2.715124354,0.639458594
800000.096,300,0.52,0.48,817.6501247,105.4875084,1.08279946,0.130966244
800000.096,300,0.54,0.46,833.7853827,99.73963547,1.488590692,0.689037809
800000.096,300,0.56,0.44,849.4386607,94.16477971,1.470149779,0.785281736
800000.096,300,0.58,0.42,865.0064445,88.65934903,2.155671834,0.537915319
800000.096,300,0.6,0.4,881.0671154,83.52871676,1.217201309,0.28568339
800000.096,300,0.62,0.38,894.8216139,78.21701475,2.269646591,0.216745014
800000.096,300,0.64,0.36,908.7417556,73.22618508,1.279590634,0.103746961
800000.096,300,0.66,0.34,921.2801257,68.29314324,1.597934685,0.126611848
800000.096,300,0.68,0.32,935.4135552,63.57154569,2.142119336,0.136700494
800000.096,300,0.7,0.3,947.2669678,58.90880965,1.624729526,0.365392165
800000.096,300,0.72,0.28,960.6352365,54.1677994,1.157354416,0.22683893
800000.096,300,0.74,0.26,971.0894313,49.7920284,2.325190364,0.284694758
800000.096,300,0.76,0.24,982.5522188,45.46005287,1.073966729,0.306580056
800000.096,300,0.78,0.22,994.8525563,41.26670236,2.414135177,0.13865575
800000.096,300,0.8,0.2,1004.296666,37.04609441,1.055982282,0.315908875
800000.096,300,0.82,0.18,1015.098698,32.8859758,2.357641599,0.169714328
800000.096,300,0.84,0.16,1024.893766,29.01677058,2.142643873,0.094288444
800000.096,300,0.86,0.14,1035.452122,25.08889433,0.861143146,0.081294618
800000.096,300,0.88,0.12,1044.322734,21.32314269,1.354069021,0.097407703
800000.096,300,0.9,0.1,1054.130581,17.58248382,0.742432706,0.07315372
800000.096,300,0.92,0.08,1063.414284,13.948361,1.05166286,0.058192181
800000.096,300,0.94,0.06,1073.038906,10.35597288,1.437768182,0.103127452
800000.096,300,0.96,0.04,1081.231507,6.824299233,1.610308018,0.021474407
800000.096,300,0.98,0.02,1089.387126,3.389706391,1.911031686,0.024770501
1200000.094,300,0.02,0.98,75.99421435,446.5647628,0.263356822,0.661640774
1200000.094,300,0.04,0.96,142.287972,421.6288669,1.233191265,1.236478865
1200000.094,300,0.06,0.94,201.653797,401.1760226,1.540862058,1.930513931
1200000.094,300,0.08,0.92,256.9400488,382.0991594,1.42802607,1.990138412
1200000.094,300,0.1,0.9,309.0015335,363.638567,1.070068733,1.383630129
1200000.094,300,0.12,0.88,356.7167878,346.2512319,1.424503532,2.412686959
1200000.094,300,0.14,0.86,401.9514353,330.1707645,2.409722573,1.080074702
1200000.094,300,0.16,0.84,444.5780081,314.7153824,1.526663289,0.827864473
1200000.094,300,0.18,0.82,484.4137423,300.4343041,1.35731098,1.407439481
1200000.094,300,0.2,0.8,521.7423072,286.802538,0.507487179,1.001450146
1200000.094,300,0.22,0.78,556.9208465,273.2781046,2.035353225,1.329000104
1200000.094,300,0.24,0.76,590.8981802,260.6769433,1.221862275,0.833676926
1200000.094,300,0.26,0.74,622.751047,248.7904498,2.329503624,1.19264151
1200000.094,300,0.28,0.72,651.9682726,236.9097229,2.283678684,0.815934998
1200000.094,300,0.3,0.7,680.8792548,225.4566295,2.027683694,0.295947437
1200000.094,300,0.32,0.68,707.1550299,215.206552,1.846032114,0.734892108
1200000.094,300,0.34,0.66,732.7788405,205.1653904,0.683745405,1.095905521
1200000.094,300,0.36,0.64,757.3431581,195.1034307,1.156616624,0.667289112
1200000.094,300,0.38,0.62,780.6364856,185.4950631,1.249919793,0.576971304
1200000.094,300,0.4,0.6,802.1322917,176.1374501,0.589069434,0.570205956
1200000.094,300,0.42,0.58,823.1970724,167.5667008,1.610637772,0.853892714
1200000.094,300,0.44,0.56,842.2588038,158.967603,3.360920965,0.639398637
1200000.094,300,0.46,0.54,862.4414288,150.8136639,1.269242985,0.47801469
1200000.094,300,0.48,0.52,880.8781925,142.8880707,1.120416823,0.596433316
1200000.094,300,0.5,0.5,898.2813746,135.1906676,1.916049793,0.395109208
1200000.094,300,0.52,0.48,915.3582625,127.8167691,0.867435784,0.349088878
1200000.094,300,0.54,0.46,931.3917468,120.8677853,1.936012477,0.35781096
1200000.094,300,0.56,0.44,946.9785504,113.7945672,1.793226798,0.570609665
1200000.094,300,0.58,0.42,962.4995308,106.9371919,1.434632441,0.311201644
1200000.094,300,0.6,0.4,976.3263371,100.4920204,2.221773259,0.480414804
1200000.094,300,0.62,0.38,990.1035725,94.03728972,1.749015425,0.638991348
1200000.094,300,0.64,0.36,1003.448562,88.01048697,1.981644508,0.502295481
1200000.094,300,0.66,0.34,1017.18754,82.08258334,2.279165479,0.158903287
1200000.094,300,0.68,0.32,1029.553077,76.1665767,2.566592386,0.119182945
1200000.094,300,0.7,0.3,1040.770696,70.69737382,2.222235672,0.333762954
1200000.094,300,0.72,0.28,1052.220053,65.07013322,1.518643961,0.248293748
1200000.094,300,0.74,0.26,1064.692247,59.53663119,1.478507708,0.406146034
1200000.094,300,0.76,0.24,1076.166322,54.5157733,1.389501665,0.268299972
1200000.094,300,0.78,0.22,1085.765493,49.33429743,1.766515787,0.237224599
1200000.094,300,0.8,0.2,1096.920219,44.28368841,1.270635655,0.308589917
1200000.094,300,0.82,0.18,1107.178193,39.41565574,0.425401847,0.233552463
1200000.094,300,0.84,0.16,1116.40717,34.61450249,1.641909898,0.101633745
1200000.094,300,0.86,0.14,1125.97153,30.0367771,2.388304691,0.272292366
1200000.094,300,0.88,0.12,1135.426412,25.41695334,2.365833568,0.159648525
1200000.094,300,0.9,0.1,1143.664052,21.00059058,1.796205742,0.12735986
1200000.094,300,0.92,0.08,1152.835265,16.63285482,1.848007331,0.092606841
1200000.094,300,0.94,0.06,1161.976577,12.34225033,1.277943874,0.079224544
1200000.094,300,0.96,0.04,1169.64129,8.185802986,1.326595451,0.070857278
1200000.094,300,0.98,0.02,1177.635797,4.03363302,2.519032768,0.02667427
1600000.092,300,0.02,0.98,85.51331815,536.2700078,0.690240151,2.224908752
1600000.092,300,0.04,0.96,160.7095144,504.9174446,0.600276464,1.295757676
1600000.092,300,0.06,0.94,228.3083404,477.8355018,0.80864081,1.493235944
1600000.092,300,0.08,0.92,289.4183446,451.9205893,1.425999736,1.64500813
1600000.092,300,0.1,0.9,345.8051679,428.9572382,2.062551251,1.626659286
1600000.092,300,0.12,0.88,398.2434674,407.107459,1.561895525,1.586135573
1600000.092,300,0.14,0.86,446.1202679,387.3341977,0.696849453,0.436639734
1600000.092,300,0.16,0.84,491.9213043,367.3019907,0.591808458,1.094459272
1600000.092,300,0.18,0.82,532.9042235,349.1768346,1.061846655,1.194364554
