Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error,P-bar
0.1,300,0.884,0.116,0.00214346,0,0.000898242,0,0.000001
0.1,300,0.98,0.02,0.00271324,0,0.000970718,0,0.000001
0.1,320,0.02,0.98,0,0.000155856,0,0.000129591,0.000001
0.1,320,0.116,0.884,0.000217059,6.93E-05,0.000368042,0.000129591,0.000001
0.1,320,0.212,0.788,0.000271324,8.66E-05,0.00024268,0.000154891,0.000001
0.1,320,0.308,0.692,0.000298456,5.20E-05,0.000359952,8.48E-05,0.000001
0.1,320,0.404,0.596,0.000868237,3.46E-05,0.000368042,8.48E-05,0.000001
0.1,320,0.5,0.5,0.000434118,6.93E-05,0.000265842,0.000201953,0.000001
0.1,320,0.596,0.404,0.00056978,5.20E-05,0.000398763,0.000138538,0.000001
0.1,320,0.692,0.308,0.000651178,0,0.00020304,0,0.000001
0.1,320,0.788,0.212,0.000868237,0,0.001052234,0,0.000001
0.1,320,0.884,0.116,0.001058164,1.73E-05,0.001408796,6.93E-05,0.000001
0.1,320,0.98,0.02,0.00135662,0,0.000707526,0,0.000001
0.1,340,0.02,0.98,2.71E-05,5.20E-05,0.00010853,0.000207808,0.000001
0.1,340,0.116,0.884,8.14E-05,3.46E-05,0.000132921,8.48E-05,0.000001
0.1,340,0.212,0.788,5.43E-05,6.93E-05,0.000132921,0.000201953,0.000001
0.1,340,0.308,0.692,0.00010853,1.73E-05,0.00020304,6.93E-05,0.000001
0.1,340,0.404,0.596,0.000325589,3.46E-05,0.000276697,8.48E-05,0.000001
0.1,340,0.5,0.5,0.000624045,3.46E-05,0.001038147,8.48E-05,0.000001
0.1,340,0.596,0.404,0.000352721,6.93E-05,0.000503231,0.000201953,0.000001
0.1,340,0.692,0.308,0.000298456,1.73E-05,0.000398763,6.93E-05,0.000001
0.1,340,0.788,0.212,0.000651178,1.73E-05,0.000715802,6.93E-05,0.000001
0.1,340,0.884,0.116,0.000515516,0,0.00010853,0,0.000001
0.1,340,0.98,0.02,0.000488383,0,0.000368042,0,0.000001
0.1,360,0.02,0.98,2.71E-05,3.46E-05,0.00010853,8.48E-05,0.000001
0.1,360,0.116,0.884,2.71E-05,3.46E-05,0.00010853,8.48E-05,0.000001
0.1,360,0.212,0.788,0.000135662,3.46E-05,0.000343201,8.48E-05,0.000001
0.1,360,0.308,0.692,5.43E-05,3.46E-05,0.000217059,8.48E-05,0.000001
0.1,360,0.404,0.596,8.14E-05,3.46E-05,0.000132921,8.48E-05,0.000001
0.1,360,0.5,0.5,0.000189927,3.46E-05,0.000217059,8.48E-05,0.000001
0.1,360,0.596,0.404,0.000244192,3.46E-05,0.00020304,0.000138538,0.000001
0.1,360,0.692,0.308,0.000271324,1.73E-05,0.00024268,6.93E-05,0.000001
0.1,360,0.788,0.212,0.000162794,0,0.000265842,0,0.000001
0.1,360,0.884,0.116,0.000298456,0,0.000434118,0,0.000001
0.1,360,0.98,0.02,0.000298456,0,0.000434118,0,0.000001
0.1,380,0.02,0.98,0,0,0,0,0.000001
0.1,380,0.116,0.884,0,0,0,0,0.000001
0.1,380,0.212,0.788,8.14E-05,1.73E-05,0.000217059,6.93E-05,0.000001
0.1,380,0.308,0.692,2.71E-05,0,0.00010853,0,0.000001
0.1,380,0.404,0.596,0.00010853,1.73E-05,0.00020304,6.93E-05,0.000001
0.1,380,0.5,0.5,5.43E-05,0,0.000132921,0,0.000001
0.1,380,0.596,0.404,0.000135662,1.73E-05,0.000343201,6.93E-05,0.000001
0.1,380,0.692,0.308,0.000189927,1.73E-05,0.000325589,6.93E-05,0.000001
0.1,380,0.788,0.212,8.14E-05,0,0.000217059,0,0.000001
0.1,380,0.884,0.116,0.000352721,0,0.000325589,0,0.000001
0.1,380,0.98,0.02,0.000162794,0,0.00020304,0,0.000001
0.1,400,0.02,0.98,0,0,0,0,0.000001
0.1,400,0.116,0.884,0,0,0,0,0.000001
0.1,400,0.212,0.788,2.71E-05,0,0.00010853,0,0.000001
0.1,400,0.308,0.692,5.43E-05,1.73E-05,0.000132921,6.93E-05,0.000001
0.1,400,0.404,0.596,5.43E-05,1.73E-05,0.000132921,6.93E-05,0.000001
0.1,400,0.5,0.5,5.43E-05,3.46E-05,0.000132921,8.48E-05,0.000001
0.1,400,0.596,0.404,5.43E-05,3.46E-05,0.000132921,8.48E-05,0.000001
0.1,400,0.692,0.308,5.43E-05,0,0.000132921,0,0.000001
0.1,400,0.788,0.212,5.43E-05,0,0.000132921,0,0.000001
0.1,400,0.884,0.116,0.00010853,1.73E-05,0.00010853,6.93E-05,0.000001
0.1,400,0.98,0.02,5.43E-05,0,0.000132921,0,0.000001
1000000.095,200,0.02,0.98,347.0137535,1194.861329,4.308845173,2.849365561,10
1000000.095,200,0.116,0.884,944.6625288,784.6363741,5.210495108,2.538594297,10
1000000.095,200,0.212,0.788,1069.967247,687.5776997,5.210136891,2.496147693,10
1000000.095,200,0.308,0.692,1226.929723,573.7873753,3.956645601,6.635651996,10
1000000.095,200,0.404,0.596,1354.478616,476.2557134,2.328095606,2.961373101,10
1000000.095,200,0.5,0.5,1468.591002,388.0505626,7.91386959,4.67083557,10
1000000.095,200,0.596,0.404,1569.740532,312.2264183,6.578061566,5.046813118,10
1000000.095,200,0.692,0.308,1664.331944,237.8083524,5.949736547,4.497256866,10
1000000.095,200,0.788,0.212,1755.918822,164.4598206,3.158183131,4.808399486,10
1000000.095,200,0.884,0.116,1839.107735,92.47899213,9.677113019,1.4072433,10
1000000.095,200,0.98,0.02,1926.278598,16.82596008,18.21521702,0.69363834,10
1000000.095,220,0.02,0.98,263.2658863,1068.481013,3.288709845,4.541997716,10
1000000.095,220,0.116,0.884,821.0975945,696.3254146,3.329742112,1.519303325,10
1000000.095,220,0.212,0.788,1072.243926,524.5901443,2.372901655,3.654060201,10
1000000.095,220,0.308,0.692,1234.187938,413.0960598,4.796198869,4.329689799,10
1000000.095,220,0.404,0.596,1354.56042,328.4085037,5.721867585,2.814109868,10
1000000.095,220,0.5,0.5,1453.843322,260.8497353,5.090207979,1.781168623,10
1000000.095,220,0.596,0.404,1541.261687,202.1531492,9.135223735,3.531701007,10
1000000.095,220,0.692,0.308,1613.333235,149.9588298,9.226232409,1.845071842,10
1000000.095,220,0.788,0.212,1687.070386,100.838886,8.815163699,0.988680154,10
1000000.095,220,0.884,0.116,1753.142282,54.96694102,5.695088272,0.997227559,10
1000000.095,220,0.98,0.02,1811.838263,9.52385911,18.27201468,0.225449978,10
1000000.095,240,0.02,0.98,199.5544548,880.2130336,2.088610568,3.857349881,10
1000000.095,240,0.116,0.884,699.6025095,580.8216815,1.237448534,1.659966347,10
1000000.095,240,0.212,0.788,937.2697911,429.4784717,4.071888384,2.314403909,10
1000000.095,240,0.308,0.692,1086.735151,331.642389,2.151544569,3.029018158,10
1000000.095,240,0.404,0.596,1196.077661,260.4159022,2.161780359,2.465313064,10
1000000.095,240,0.5,0.5,1281.276217,202.1572361,4.557149277,3.268367315,10
1000000.095,240,0.596,0.404,1353.373513,154.4306945,5.592438449,2.608038231,10
1000000.095,240,0.692,0.308,1410.017063,111.7413064,5.999891808,1.378649156,10
1000000.095,240,0.788,0.212,1464.573155,74.43545241,6.940083126,0.35618778,10
1000000.095,240,0.884,0.116,1513.525999,39.47694168,3.746208242,0.817863616,10
1000000.095,240,0.98,0.02,1557.577566,6.629323708,11.31125323,0.119089325,10
1000000.095,260,0.02,0.98,144.7034338,689.2145832,1.345236964,1.785047742,10
1000000.095,260,0.116,0.884,571.3416895,480.7082174,2.10858834,2.010340602,10
1000000.095,260,0.212,0.788,803.5947551,358.6516684,1.634162715,0.565888975,10
1000000.095,260,0.308,0.692,953.9065643,274.6618611,0.487418808,0.803558122,10
1000000.095,260,0.404,0.596,1060.858575,212.5452287,0.521795657,1.574131208,10
1000000.095,260,0.5,0.5,1142.807754,163.0959271,1.726150549,1.132542532,10
1000000.095,260,0.596,0.404,1210.203195,122.1159993,2.57631049,0.937627514,10
1000000.095,260,0.692,0.308,1264.461536,87.34345906,1.619909898,0.219091286,10
1000000.095,260,0.788,0.212,1311.741777,56.95266431,2.359372118,0.588794513,10
1000000.095,260,0.884,0.116,1353.540133,29.62268573,2.392199953,0.209028011,10
1000000.095,260,0.98,0.02,1389.242599,4.884865095,3.129592348,0.060833991,10
1000000.095,280,0.02,0.98,100.5766293,522.6417744,0.864675492,1.678705849,10
1000000.095,280,0.116,0.884,437.3085058,392.8593528,0.566129987,1.5252118,10
1000000.095,280,0.212,0.788,655.9082226,303.1026408,1.413998868,2.106232552,10
1000000.095,280,0.308,0.692,809.1659592,235.8287595,1.010543235,1.06005976,10
1000000.095,280,0.404,0.596,921.4612073,183.4369881,1.334009976,0.993402732,10
1000000.095,280,0.5,0.5,1008.756961,140.7771779,2.550225637,0.497983597,10
1000000.095,280,0.596,0.404,1079.852068,105.5270958,2.229967937,0.637851974,10
1000000.095,280,0.692,0.308,1136.737748,75.1671085,0.99291443,0.783889523,10
1000000.095,280,0.788,0.212,1186.659083,48.77896612,1.423492111,0.149861887,10
1000000.095,280,0.884,0.116,1230.202595,25.20644419,2.122910983,0.136113366,10
1000000.095,280,0.98,0.02,1267.159908,4.178821297,2.44313557,0.025313231,10
1000000.095,300,0.02,0.98,69.69447825,393.5603919,0.457935563,1.838993493,10
1000000.095,300,0.116,0.884,319.3293728,311.4053183,1.221167738,1.269127371,10
