Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
1,0,1.00,0.0000000000,0.0003571423,0.0000000000,0.0000000000
1,0.02,.98,0.0000000000,0.0003571423,0.0000000000,0.0000000000
1,0.04,.96,0.0000000000,0.0002857139,0.0000000000,0.0003709581
1,0.06,.94,0.0000260436,0.0002142854,0.0000722971,0.0003965708
1,0.08,.92,0.0000000000,0.0003571423,0.0000000000,0.0005430270
1,0.1,.90,0.0000000000,0.0002857139,0.0000000000,0.0001982854
1,0.12,.88,0.0000000000,0.0004285708,0.0000000000,0.0001982854
1,0.14,.86,0.0000260436,0.0002857139,0.0000722971,0.0003709581
1,0.16,.84,0.0000000000,0.0001428569,0.0000000000,0.0003965708
1,0.18,.82,0.0000000000,0.0001428569,0.0000000000,0.0003965708
1,0.2,.80,0.0000000000,0.0002142854,0.0000000000,0.0002428491
1,0.22,.78,0.0000000000,0.0000714285,0.0000000000,0.0001982854
1,0.24,.76,0.0000000000,0.0001428569,0.0000000000,0.0002428491
1,0.26,.74,0.0000260436,0.0004999993,0.0000722971,0.0009194117
1,0.28,.72,0.0000260436,0.0001428569,0.0000722971,0.0003965708
1,0.3,.70,0.0000000000,0.0002857139,0.0000000000,0.0003709581
1,0.32,.68,0.0000000000,0.0003571423,0.0000000000,0.0005430270
1,0.34,.66,0.0000260436,0.0002142854,0.0000722971,0.0003965708
1,0.36,.64,0.0000260436,0.0002142854,0.0000722971,0.0003965708
1,0.38,.62,0.0000260436,0.0000714285,0.0000722971,0.0001982854
1,0.4,.60,0.0000000000,0.0001428569,0.0000000000,0.0002428491
1,0.42,.58,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.44,.56,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.46,.54,0.0000260436,0.0000714285,0.0000722971,0.0001982854
1,0.48,.52,0.0000520873,0.0000714285,0.0000885455,0.0001982854
1,0.5,.50,0.0000260436,0.0000714285,0.0000722971,0.0001982854
1,0.52,.48,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.54,.46,0.0000260436,0.0000000000,0.0000722971,0.0000000000
1,0.56,.44,0.0000000000,0.0002142854,0.0000000000,0.0003965708
1,0.58,.42,0.0000000000,0.0002142854,0.0000000000,0.0003965708
1,0.6,.40,0.0000260436,0.0003571423,0.0000722971,0.0003135168
1,0.62,.38,0.0000260436,0.0001428569,0.0000722971,0.0002428491
1,0.64,.36,0.0000781309,0.0000000000,0.0000885455,0.0000000000
1,0.66,.34,0.0001041745,0.0000000000,0.0000722971,0.0000000000
1,0.68,.32,0.0000781309,0.0000714285,0.0001445942,0.0001982854
1,0.7,.30,0.0000781309,0.0000714285,0.0000885455,0.0001982854
1,0.72,.28,0.0000520873,0.0001428569,0.0001445942,0.0002428491
1,0.74,.26,0.0000781309,0.0000714285,0.0000885455,0.0001982854
1,0.76,.24,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.78,.22,0.0000260436,0.0002142854,0.0000722971,0.0002428491
1,0.8,.20,0.0000260436,0.0002142854,0.0000722971,0.0002428491
1,0.82,.18,0.0000781309,0.0000000000,0.0001445942,0.0000000000
1,0.84,.16,0.0000260436,0.0000000000,0.0000722971,0.0000000000
1,0.86,.14,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.88,.12,0.0001302181,0.0002142854,0.0001616612,0.0003965708
1,0.9,.10,0.0001302181,0.0002142854,0.0001616612,0.0003965708
1,0.92,.08,0.0001041745,0.0000714285,0.0001352555,0.0001982854
1,0.94,.06,0.0000520873,0.0000000000,0.0001445942,0.0000000000
1,0.96,.04,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.98,.02,0.0000520873,0.0000714285,0.0000885455,0.0001982854
1,1,0,0.0000260436,0.0000000000,0.0000722971,0.0000000000
20000.98,0,1.00,0.0000000000,7.1444181146,0.0000000000,0.1482531996
20000.98,0.02,.98,0.0241163983,7.0064183165,0.0034205778,0.0596918172
20000.98,0.04,.96,0.0478160986,6.8862756352,0.0017161999,0.0641573625
20000.98,0.06,.94,0.0742503797,6.6802045083,0.0017161999,0.0592642924
20000.98,0.08,.92,0.0966218551,6.6029903356,0.0027458628,0.1006416222
20000.98,0.1,.90,0.1221966965,6.4356334377,0.0031835365,0.1047940811
20000.98,0.12,.88,0.1412085440,6.2857765142,0.0018664699,0.0515250312
20000.98,0.14,.86,0.1668875599,6.1831338072,0.0055797726,0.0646326844
20000.98,0.16,.84,0.1919675725,5.9725626869,0.0061190437,0.0829857073
20000.98,0.18,.82,0.2166308870,5.8449200166,0.0029313780,0.0432419096
20000.98,0.2,.80,0.2406170672,5.7585630001,0.0039423474,0.0819850885
20000.98,0.22,.78,0.2647855527,5.5908489599,0.0070453522,0.0772089426
20000.98,0.24,.76,0.2898134780,5.4140635043,0.0064061520,0.0555717674
20000.98,0.26,.74,0.3126276950,5.3109207981,0.0071856561,0.0516890206
20000.98,0.28,.72,0.3290351798,5.1091353792,0.0056366249,0.0702547671
20000.98,0.3,.70,0.3638815524,4.9855641315,0.0121577427,0.0968171097
20000.98,0.32,.68,0.3833621852,4.8499214729,0.0091370788,0.0335966551
20000.98,0.34,.66,0.4094318555,4.6855645706,0.0041364435,0.1031611243
20000.98,0.36,.64,0.4382881939,4.5454933470,0.0083262605,0.0563978265
20000.98,0.38,.62,0.4531330611,4.3679936068,0.0091744716,0.0708718541
20000.98,0.4,.60,0.4804267819,4.2474223547,0.0134905318,0.0452816361
20000.98,0.42,.58,0.5073558919,4.1436367923,0.0061201114,0.0446531995
20000.98,0.44,.56,0.5266542193,3.9881370199,0.0086429068,0.0682173906
20000.98,0.46,.54,0.5496767853,3.8074229987,0.0126258366,0.0778730504
20000.98,0.48,.52,0.5760589792,3.6930660232,0.0067534941,0.0405002529
20000.98,0.5,.50,0.5997065922,3.5622090719,0.0103239409,0.0276257925
20000.98,0.52,.48,0.6248386920,3.4109235791,0.0120226417,0.0960608466
20000.98,0.54,.46,0.6502312280,3.2653523635,0.0093432649,0.0796832372
20000.98,0.56,.44,0.6763269420,3.1202097188,0.0035646213,0.0582648822
20000.98,0.58,.42,0.7037769245,2.9662099442,0.0163136145,0.0710429308
20000.98,0.6,.40,0.7186217918,2.8233530105,0.0127863725,0.0228041169
20000.98,0.62,.38,0.7416964450,2.6779960804,0.0065830080,0.0381855205
20000.98,0.64,.36,0.7631303498,2.5342820050,0.0115180661,0.0375710330
20000.98,0.66,.34,0.7947733563,2.3864965070,0.0257540625,0.0439308506
20000.98,0.68,.32,0.8162333047,2.2499967068,0.0251367385,0.0398166315
20000.98,0.7,.30,0.8451156867,2.1289254554,0.0184329271,0.0054030504
20000.98,0.72,.28,0.8639452288,1.9742828246,0.0159801959,0.0119053845
20000.98,0.74,.26,0.8929578290,1.8249973289,0.0138946878,0.0476266977
20000.98,0.76,.24,0.9104331025,1.6717832674,0.0130928645,0.0374058502
20000.98,0.78,.22,0.9486391029,1.5547120102,0.0124042750,0.0267509011
20000.98,0.8,.20,0.9610358692,1.3927122473,0.0169607227,0.0367211008
20000.98,0.82,.18,0.9805685892,1.2609981543,0.0148501498,0.0103289388
20000.98,0.84,.16,1.0120292903,1.1301412030,0.0130772858,0.0149984280
20000.98,0.86,.14,1.0286972114,0.9872128408,0.0076095926,0.0302594862
20000.98,0.88,.12,1.0509645122,0.8287845012,0.0194821591,0.0317544681
20000.98,0.9,.10,1.0762789174,0.6978561214,0.0111881964,0.0163840643
20000.98,0.92,.08,1.1168288441,0.5692848811,0.0194896027,0.0258399460
20000.98,0.94,.06,1.1257357645,0.4235708086,0.0167625642,0.0220912567
20000.98,0.96,.04,1.1578735998,0.2876424361,0.0252166674,0.0080213745
20000.98,0.98,.02,1.1774323635,0.1400712236,0.0095974240,0.0110106452
20000.98,1,0,1.2157946256,0.0000000000,0.0197916551,0.0000000000
40000.96,0,1.00,0.0000000000,14.4299788797,0.0000000000,0.1907243992
40000.96,0.02,.98,0.0485713638,14.1652649814,0.0044243231,0.1513962776
40000.96,0.04,.96,0.0959707644,13.8448368790,0.0080368569,0.3263686525
40000.96,0.06,.94,0.1462349640,13.5939801033,0.0074906921,0.2046559662
40000.96,0.08,.92,0.1911862637,13.2426234747,0.0013878409,0.1348652856
40000.96,0.1,.90,0.2380127045,12.9734095830,0.0054239698,0.1096383926
40000.96,0.12,.88,0.2876518570,12.7107671103,0.0028805657,0.1898704336
40000.96,0.14,.86,0.3377337512,12.4053389859,0.0058216009,0.1521318992
40000.96,0.16,.84,0.3872426855,12.0582680653,0.0056747473,0.1117054624
40000.96,0.18,.82,0.4356577876,11.7534827971,0.0094468836,0.0801864147
40000.96,0.2,.80,0.4799579966,11.4591975135,0.0038822268,0.1738086264
