Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0001041745,0.0002891884
20000.98,1.2407183764,0.0116956075
40000.96,2.5110223127,0.0362579906
60000.94,3.7377813052,0.0398926767
80000.92,5.0011055496,0.0654787525
100000.9,6.2097902652,0.0185782467
120000.88,7.4608219177,0.0371635264
140000.86,8.6754445802,0.1144733784
160000.84,9.9677293375,0.1211463977
180000.82,11.2270949506,0.0953443446
200000.8,12.3927555948,0.1078452833
220000.78,13.5816471541,0.1014652238
240000.76,14.8468986268,0.1176330597
260000.74,16.1032952665,0.1301185261
280000.72,17.3394820519,0.2960089928
300000.7,18.5943681612,0.2012094882
320000.68,19.7958127485,0.2610835053
340000.66,21.0374166082,0.0933292658
360000.64,22.1642722487,0.2029854571
380000.62,23.6691250871,0.2290936212
400000.6,24.6691482655,0.1576316705
420000.58,25.7256861138,0.1743050732
440000.56,27.0469313840,0.5059531461
460000.54,28.2548868780,0.3168412478
480000.52,29.4717492923,0.3325221356
500000.5,30.5895938379,0.3134936645
520000.48,31.9524047363,0.2321448759
540000.46,33.0975950900,0.3204048764
560000.44,34.2861220384,0.2446760364
580000.42,35.6206495583,0.3202934043
600000.4,36.5779091016,0.6990307339
620000.38,37.6084554104,0.4488641844
640000.36,38.6194689992,0.1863014685
660000.34,39.8022663499,0.4521908358
680000.32,41.0235561807,0.4627612777
700000.3,42.0226938758,0.2676271558
720000.28,43.2543490701,0.5336610604
740000.26,44.4070920755,0.2426410495
760000.24,45.4455035596,0.3760384205
780000.22,46.6056429550,0.5685187499
800000.2,47.7030172100,0.3797945641
820000.18,48.6419941273,0.2149854396
840000.16,49.7771837283,0.4287954808
860000.14,50.9786283156,0.5426091030
880000.12,51.6727951419,0.6326475558
900000.1,53.1116013431,0.2306980657
920000.08,54.1598573181,0.7035507669
940000.06,55.1307637218,0.2111629339
960000.04,56.1492778751,0.7706230412
980000.02,57.3572854564,0.7380211000
1000000,58.3962699003,0.5367720857
