Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error,P_BAR
0.1,320,0.5,0.5,9.09E-05,0,0.000363704,0,0.000001
0.1,320,0.596,0.404,9.09E-05,0,0.000363704,0,0.000001
0.1,320,0.692,0.308,0,0,0,0,0.000001
0.1,320,0.788,0.212,9.09E-05,0,0.000363704,0,0.000001
0.1,320,0.884,0.116,0,0,0,0,0.000001
0.1,320,0.98,0.02,9.09E-05,0,0.000363704,0,0.000001
0.1,340,0.02,0.98,0,0,0,0,0.000001
0.1,340,0.116,0.884,0,0,0,0,0.000001
0.1,340,0.212,0.788,0,0,0,0,0.000001
0.1,340,0.308,0.692,0,0,0,0,0.000001
0.1,340,0.404,0.596,0,0,0,0,0.000001
0.1,340,0.5,0.5,0,0,0,0,0.000001
0.1,340,0.596,0.404,0,0,0,0,0.000001
0.1,340,0.692,0.308,0,0,0,0,0.000001
0.1,340,0.788,0.212,0,0,0,0,0.000001
0.1,340,0.884,0.116,9.09E-05,0,0.000363704,0,0.000001
0.1,340,0.98,0.02,9.09E-05,0,0.000363704,0,0.000001
0.1,360,0.02,0.98,0,0,0,0,0.000001
0.1,360,0.116,0.884,0,0,0,0,0.000001
0.1,360,0.212,0.788,0,0,0,0,0.000001
0.1,360,0.308,0.692,0,0,0,0,0.000001
0.1,360,0.404,0.596,0,0,0,0,0.000001
0.1,360,0.5,0.5,0,0,0,0,0.000001
0.1,360,0.596,0.404,0,0,0,0,0.000001
0.1,360,0.692,0.308,0,0,0,0,0.000001
0.1,360,0.788,0.212,0,0,0,0,0.000001
0.1,360,0.884,0.116,0,0,0,0,0.000001
0.1,360,0.98,0.02,0,0,0,0,0.000001
0.1,380,0.02,0.98,0,0,0,0,0.000001
0.1,380,0.116,0.884,0,0,0,0,0.000001
0.1,380,0.212,0.788,0,0,0,0,0.000001
0.1,380,0.308,0.692,0,0,0,0,0.000001
0.1,380,0.404,0.596,0,0,0,0,0.000001
0.1,380,0.5,0.5,0,0,0,0,0.000001
0.1,380,0.596,0.404,0,0,0,0,0.000001
0.1,380,0.692,0.308,0,0,0,0,0.000001
0.1,380,0.788,0.212,0,0,0,0,0.000001
0.1,380,0.884,0.116,0,0,0,0,0.000001
0.1,380,0.98,0.02,0,0,0,0,0.000001
0.1,400,0.02,0.98,0,0,0,0,0.000001
0.1,400,0.116,0.884,0,0,0,0,0.000001
0.1,400,0.212,0.788,0,0,0,0,0.000001
0.1,400,0.308,0.692,0,0,0,0,0.000001
0.1,400,0.404,0.596,0,0,0,0,0.000001
0.1,400,0.5,0.5,0,0,0,0,0.000001
0.1,400,0.596,0.404,0,0,0,0,0.000001
0.1,400,0.692,0.308,0,0,0,0,0.000001
0.1,400,0.788,0.212,0,0,0,0,0.000001
0.1,400,0.884,0.116,0,0,0,0,0.000001
0.1,400,0.98,0.02,0,0,0,0,0.000001
1500000.1,200,0.02,0.98,441.7574218,137.1544934,11.01538068,3.420971151,15
1500000.1,200,0.116,0.884,797.2378329,33.24754884,22.6301556,3.115676654,15
1500000.1,200,0.212,0.788,861.130986,18.14461678,21.91679133,4.391246477,15
1500000.1,200,0.308,0.692,813.0886668,27.85985354,20.2590249,4.006990966,15
1500000.1,200,0.404,0.596,830.0958049,24.14782325,15.04046082,3.692141442,15
1500000.1,200,0.5,0.5,834.2649378,20.95516158,20.78613731,1.485756174,15
1500000.1,200,0.596,0.404,850.8348135,15.60035366,22.0260566,2.694886623,15
1500000.1,200,0.692,0.308,867.0580797,12.1877245,9.106102886,1.520438314,15
1500000.1,200,0.788,0.212,884.7436157,7.96540939,8.78283621,1.3212052,15
1500000.1,200,0.884,0.116,899.115995,4.485778821,19.04001284,0.548584178,15
1500000.1,200,0.98,0.02,896.2429194,0.890942967,17.37877739,0.234779812,15
1500000.1,220,0.02,0.98,299.8916994,159.789,11.02144093,4.107041366,15
1500000.1,220,0.116,0.884,671.7003052,55.93493376,26.19338049,5.109947904,15
