Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0,0
20000.98,1.474327946,0.039058848
40000.96,2.922421156,0.053875645
100000.9,7.386585095,0.104595653
200000.8,14.63830034,0.164240737
300000.7,21.90178707,0.160633862
400000.6,29.00866888,0.28541963
500000.5,35.74930895,0.360945891
600000.4,42.26866122,0.439845341
700000.3,48.53651355,0.256386807
800000.2,55.24449077,0.559393645
900000.1,62.20059316,0.527783314
960000.04,66.41695333,0.459614044
980000.02,67.59088751,0.413265549
1000000,68.91684657,0.385117717
