Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.000330563,0.000611763
20000.98,9.198915979,0.141607991
40000.96,18.44091538,0.352938924
100000.9,46.04868209,0.52281818
200000.8,90.74690285,0.784976828
300000.7,134.4644524,1.054526173
400000.6,180.3796971,1.511887103
500000.5,227.012154,1.474383191
600000.4,279.1757066,2.529084343
700000.3,330.7933888,4.120567246
800000.2,382.3737175,3.711437207
900000.1,436.3833559,2.847906664
960000.04,473.1793504,2.660320783
980000.02,483.9675046,3.558088013
1000000,495.2814749,5.461974715
