Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
20000.98,0.4,.60,0.5679238044,5.4340201767,0.0106928608,0.0597568411
20000.98,0.42,.58,0.6052068611,5.1982183441,0.0094768253,0.0869338664
20000.98,0.44,.56,0.6309193141,5.0220831902,0.0092879094,0.1069447661
20000.98,0.46,.54,0.6582588832,4.9069920620,0.0054930962,0.0450132875
20000.98,0.48,.52,0.6898972530,4.6856248276,0.0069304433,0.0800800107
20000.98,0.5,.50,0.7135808327,4.4804001017,0.0102890030,0.0812885552
20000.98,0.52,.48,0.7543390882,4.3202421747,0.0099381032,0.0880991119
20000.98,0.54,.46,0.7762951125,4.1601393417,0.0079992507,0.0526252455
20000.98,0.56,.44,0.8064469811,3.9940312750,0.0159462767,0.0629253579
20000.98,0.58,.42,0.8244858739,3.7550339969,0.0117840048,0.0339519582
20000.98,0.6,.40,0.8653847444,3.6261693973,0.0080703651,0.0521068742
20000.98,0.62,.38,0.8884656884,3.4233688024,0.0164513849,0.0421639310
20000.98,0.64,.36,0.9327393183,3.2417242599,0.0121626000,0.0275494853
20000.98,0.66,.34,0.9555992960,3.0560027697,0.0170393566,0.0304639918
20000.98,0.68,.32,0.9790619094,2.8929248668,0.0137504620,0.0491826004
20000.98,0.7,.30,1.0056582279,2.6747530777,0.0187530877,0.0633501977
20000.98,0.72,.28,1.0334999933,2.5127219586,0.0140706873,0.0473274025
20000.98,0.74,.26,1.0635715105,2.3189567611,0.0170115033,0.0304294203
20000.98,0.76,.24,1.1019192236,2.1695421419,0.0093705725,0.0352588688
20000.98,0.78,.22,1.1226900645,1.9751709116,0.0138307919,0.0143377250
20000.98,0.8,.20,1.1529624602,1.7782653626,0.0101856513,0.0182307538
20000.98,0.82,.18,1.1804426443,1.5971166650,0.0055578158,0.0370769848
20000.98,0.84,.16,1.2196943108,1.4445066004,0.0073629444,0.0480373584
20000.98,0.86,.14,1.2402441853,1.2158118791,0.0186451609,0.0241500952
20000.98,0.88,.12,1.2663784831,1.0656259455,0.0112570554,0.0120924691
20000.98,0.9,.10,1.2962892975,0.8794637043,0.0079955568,0.0280622089
20000.98,0.92,.08,1.3247738743,0.7004636683,0.0126017121,0.0245270709
20000.98,0.94,.06,1.3583406781,0.5242183265,0.0163909298,0.0118269691
20000.98,0.96,.04,1.3882514925,0.3531518101,0.0227102476,0.0156848052
20000.98,0.98,.02,1.4133010463,0.1729948024,0.0197031639,0.0112725647
20000.98,1,0,1.4424485222,0.0000000000,0.0190869351,0.0000000000
40000.96,0,1.00,0.0000000000,17.9827546205,0.0000000000,0.3224718413
40000.96,0.02,.98,0.0560250244,17.6148927428,0.0033147864,0.2675555208
40000.96,0.04,.96,0.1157261261,17.4058114450,0.0038406299,0.1586575659
40000.96,0.06,.94,0.1711284270,16.8769101381,0.0054753772,0.2956972666
40000.96,0.08,.92,0.2267516944,16.5446389109,0.0053316512,0.1384290961
40000.96,0.1,.90,0.2815312719,16.1268619723,0.0068062782,0.1803542911
