Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0003305633,0.0006117625
20000.98,9.1989159793,0.1416079908
40000.96,18.4409153776,0.3529389235
60000.94,27.3763723934,0.1983307975
80000.92,36.4010815047,0.6197751709
100000.9,46.0486820927,0.5228181803
120000.88,55.4624642279,0.7801168466
140000.86,64.3377587201,0.6663397973
160000.84,73.8106015012,1.7128082782
180000.82,82.0509940496,0.7135552475
200000.8,90.7469028486,0.7849768276
220000.78,99.7193829559,1.7693356794
240000.76,108.0857201280,2.6202431210
260000.74,116.1677728477,1.3909141996
280000.72,126.4384852877,2.3314174506
300000.7,134.4644524313,1.0545261728
320000.68,143.7699199864,1.4116393111
340000.66,151.2775638493,1.5719205891
360000.64,161.1547957546,2.1333638024
380000.62,170.7044394130,1.7178649436
400000.6,180.3796971318,1.5118871025
420000.58,189.2498127987,2.2156746033
440000.56,200.1136660168,3.1681146984
460000.54,209.5488245799,2.3750930357
480000.52,219.1616058318,1.6902423343
500000.5,227.0121540419,1.4743831906
520000.48,240.9641297654,1.4369482142
540000.46,246.5965981200,2.3538050866
560000.44,257.1377113532,1.9780117509
580000.42,268.8018583612,2.9486256726
600000.4,279.1757065561,2.5290843426
620000.38,290.0245742373,3.7760549620
640000.36,300.8356475125,3.0439295011
660000.34,308.2812556596,2.8987294539
680000.32,321.3869892921,3.4532645328
700000.3,330.7933888466,4.1205672458
720000.28,341.7206000338,1.2509569777
740000.26,352.2934473454,2.2260093592
760000.24,361.0708950958,3.1714966303
780000.22,371.7897412056,2.8770851574
800000.2,382.3737174822,3.7114372071
820000.18,394.6213087444,3.5243753111
840000.16,404.5399712521,5.0827646255
860000.14,416.4684587258,4.6843416664
880000.12,426.6496986948,2.3740437932
900000.1,436.3833559329,2.8479066641
920000.08,449.1504825413,4.4940912602
940000.06,459.7537416780,4.2884245416
960000.04,473.1793504134,2.6603207831
980000.02,483.9675046320,3.5580880126
1000000,495.2814748998,5.4619747145
