Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
20000.98,0.4,.60,0.5417761873,7.1890931657,0.0188656102,0.1046736404
20000.98,0.42,.58,0.5649690480,6.9014122483,0.0071275653,0.1121075111
20000.98,0.44,.56,0.5922293900,6.6036461596,0.0065185525,0.0631788708
20000.98,0.46,.54,0.6132036246,6.4743982112,0.0125614634,0.0706525081
20000.98,0.48,.52,0.6440589627,6.2093666727,0.0133037804,0.1956839594
20000.98,0.5,.50,0.6707235625,5.9154318223,0.0052769154,0.1377581546
20000.98,0.52,.48,0.6976963049,5.7113057032,0.0092286738,0.0908593330
20000.98,0.54,.46,0.7235391913,5.4447529377,0.0177937210,0.0797520415
20000.98,0.56,.44,0.7533468449,5.1665374324,0.0153302187,0.0813713973
20000.98,0.58,.42,0.7845308684,4.9801589610,0.0123087668,0.0673020020
20000.98,0.6,.40,0.8094493272,4.7095495904,0.0073764479,0.0694722874
20000.98,0.62,.38,0.8360728414,4.5176496286,0.0080851610,0.0556340215
20000.98,0.64,.36,0.8593889591,4.2373494789,0.0097628504,0.0438390869
20000.98,0.66,.34,0.8883748993,4.0330543346,0.0110310594,0.0375392379
20000.98,0.68,.32,0.9231539189,3.8205896383,0.0110039773,0.0507914371
20000.98,0.7,.30,0.9462235226,3.5763482013,0.0149491560,0.0507010520
20000.98,0.72,.28,0.9723334659,3.3014005168,0.0129661312,0.0584346756
20000.98,0.74,.26,1.0086942838,3.0676949849,0.0047563657,0.0428464582
20000.98,0.76,.24,1.0227044973,2.8280735705,0.0081467686,0.0793404970
20000.98,0.78,.22,1.0497183253,2.5958892656,0.0237219950,0.0271581740
20000.98,0.8,.20,1.0796492359,2.3697898685,0.0175737285,0.0503324214
20000.98,0.82,.18,1.1003564136,2.1258301403,0.0166623029,0.0391710171
20000.98,0.84,.16,1.1407641700,1.8756728207,0.0225669901,0.0488219365
20000.98,0.86,.14,1.1606701771,1.6645039844,0.0276978533,0.0347332826
20000.98,0.88,.12,1.1936208845,1.4106281101,0.0103972115,0.0291292932
20000.98,0.9,.10,1.2090280107,1.1547802750,0.0242993196,0.0213399251
20000.98,0.92,.08,1.2409721191,0.9384843404,0.0281714378,0.0272393444
20000.98,0.94,.06,1.2689514604,0.6993136599,0.0137910241,0.0088634678
20000.98,0.96,.04,1.3072022191,0.4626220159,0.0189105911,0.0181496816
20000.98,0.98,.02,1.3194046631,0.2329167475,0.0113784763,0.0056899923
20000.98,1,0,1.3551286532,0.0000000000,0.0257368327,0.0000000000
40000.96,0,1.00,0.0000000000,23.7047723774,0.0000000000,0.2215064488
40000.96,0.02,.98,0.0525074862,23.0235444156,0.0019721749,0.4131998016
40000.96,0.04,.96,0.1074184842,22.7129887523,0.0061995622,0.3944327076
40000.96,0.06,.94,0.1610558263,22.1355422730,0.0052071221,0.3274102979
40000.96,0.08,.92,0.2155765104,21.6074511569,0.0081217812,0.4056473901
40000.96,0.1,.90,0.2718022498,21.1975086666,0.0054065902,0.1456339525
40000.96,0.12,.88,0.3255012205,20.7666633913,0.0071397600,0.2058641925
40000.96,0.14,.86,0.3812955603,20.4229224439,0.0091578364,0.1968585270
40000.96,0.16,.84,0.4272704250,19.6900291078,0.0101507099,0.0868852206
40000.96,0.18,.82,0.4870706177,19.4879312913,0.0095564749,0.4180682837
40000.96,0.2,.80,0.5365583072,18.8350432241,0.0094703310,0.2174401777
40000.96,0.22,.78,0.5903599920,18.3585611405,0.0093015068,0.2387224821
40000.96,0.24,.76,0.6455175040,18.0284548939,0.0086135179,0.2718154264
