Pressure [Pa],Mole Frac,Temp [K],Uptake [mg/g],Error [mg/g]
1500000.1,0.692,400,143.5567617,1.378736453
7500000.1,0.02,400,13.63215176,0.159622324
18000000.0,0.692,200,803.8626007,43.11090623
19500000.0,0.596,360,497.3410417,2.977474022
24000000.0,0.02,360,28.93833968,0.741821494
